test_id,checklist,messages,messages_count,scenario,predicted_next_step,guide_message,next_step_correct,goal_accuracy,success
case_2_1,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}]",1,checklist_state_2_messages_1,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_4_1,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}]",1,checklist_state_4_messages_1,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_0_3,"{""first_chat"": false, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}]",4,checklist_state_0_messages_3,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_2_2,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u6211\u60f3\u4e86\u89e3\u4e00\u4e0b\u5165\u804c\u6d41\u7a0b""}]",1,checklist_state_2_messages_2,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_4_2,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u6211\u60f3\u4e86\u89e3\u4e00\u4e0b\u5165\u804c\u6d41\u7a0b""}]",1,checklist_state_4_messages_2,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_2_3,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}]",4,checklist_state_2_messages_3,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_1_0,"{""first_chat"": true, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}",[],0,checklist_state_1_messages_0,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_4_3,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}]",4,checklist_state_4_messages_3,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_0_4,"{""first_chat"": false, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u6bd5\u4e1a\u9662\u6821\uff1a""}, {""type"": ""human"", ""content"": ""\u6e05\u534e\u5927\u5b66""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u5c97\u4f4d\uff08\u884c\u653f/ IT\uff09\uff1a""}, {""type"": ""human"", ""content"": ""IT""}]",8,checklist_state_0_messages_4,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_2_4,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u6bd5\u4e1a\u9662\u6821\uff1a""}, {""type"": ""human"", ""content"": ""\u6e05\u534e\u5927\u5b66""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u5c97\u4f4d\uff08\u884c\u653f/ IT\uff09\uff1a""}, {""type"": ""human"", ""content"": ""IT""}]",8,checklist_state_2_messages_4,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_4_4,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u6bd5\u4e1a\u9662\u6821\uff1a""}, {""type"": ""human"", ""content"": ""\u6e05\u534e\u5927\u5b66""}, {""type"": ""ai"", ""content"": ""\u8bf7\u586b\u5199\u60a8\u7684\u5c97\u4f4d\uff08\u884c\u653f/ IT\uff09\uff1a""}, {""type"": ""human"", ""content"": ""IT""}]",8,checklist_state_4_messages_4,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_1_2,"{""first_chat"": true, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u6211\u60f3\u4e86\u89e3\u4e00\u4e0b\u5165\u804c\u6d41\u7a0b""}]",1,checklist_state_1_messages_2,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_3_0,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": false, ""final_briefing"": false}",[],0,checklist_state_3_messages_0,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_5_0,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": true}",[],0,checklist_state_5_messages_0,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_1_3,"{""first_chat"": true, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}, {""type"": ""ai"", ""content"": ""\u8bf7\u4e0a\u4f20\u60a8\u7684\u8eab\u4efd\u8bc1\u7167\u7247\u4ee5\u4fbf\u6838\u9a8c\u8eab\u4efd\u3002""}, {""type"": ""human"", ""content"": ""[\u4e0a\u4f20\u4e86\u8eab\u4efd\u8bc1\u7167\u7247]""}, {""type"": ""ai"", ""content"": ""\u8eab\u4efd\u6838\u9a8c\u6210\u529f\u3002\u59d3\u540d\uff1a\u5f20\u4e09\uff0c\u8eab\u4efd\u8bc1\u53f7\uff1a44030519900101001X\u3002""}]",4,checklist_state_1_messages_3,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_3_1,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}]",1,checklist_state_3_messages_1,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_0_1,"{""first_chat"": false, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}]",1,checklist_state_0_messages_1,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_5_1,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": true, ""final_briefing"": true}","[{""type"": ""human"", ""content"": ""\u4f60\u597d\uff0c\u6211\u662f\u65b0\u5165\u804c\u7684\u5458\u5de5""}]",1,checklist_state_5_messages_1,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_3_2,"{""first_chat"": true, ""id_verified"": true, ""info_collected"": true, ""permissions_granted"": false, ""final_briefing"": false}","[{""type"": ""human"", ""content"": ""\u6211\u60f3\u4e86\u89e3\u4e00\u4e0b\u5165\u804c\u6d41\u7a0b""}]",1,checklist_state_3_messages_2,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
case_0_0,"{""first_chat"": false, ""id_verified"": false, ""info_collected"": false, ""permissions_granted"": false, ""final_briefing"": false}",[],0,checklist_state_0_messages_0,,Error: 'StateGraph' object has no attribute 'invoke',0.0,0.0,0.0
